"timp","frecventa","tip","year","month","dens"
2010-10-24,4.13767256401241,"Landsat","2010","10",0.0270701053545043
2010-11-25,1.55631198877972,"Landsat","2010","11",0.0101819389642304
2010-12-11,28.6043807014222,"Landsat","2010","12",0.187139892586611
2010-12-19,2.5817469486162,"Landsat","2010","12",0.0168906941804835
2011-01-04,13.9871028564584,"Landsat","2011","01",0.0915085333773843
2011-01-28,0.22796029627111,"Landsat","2011","01",0.00149139622365837
2011-02-13,5.41540934328116,"Landsat","2011","02",0.0354295075776199
2011-03-25,0.933864467944532,"Landsat","2011","03",0.00610966893658014
2011-04-02,68.905829215237,"Landsat","2011","04",0.450806105978363
2011-04-10,82.1051167427178,"Landsat","2011","04",0.537160475118392
2011-04-18,3.12073781861315,"Landsat","2011","04",0.0204169615228622
2011-04-26,1.24489504167037,"Landsat","2011","04",0.00814454005530047
2011-05-12,87.8149426042339,"Landsat","2011","05",0.57451615883572
2011-05-20,82.8102481676242,"Landsat","2011","05",0.541773692250895
2011-06-05,17.7727892680929,"Landsat","2011","06",0.116275821850952
2011-06-21,0.143730898665853,"Landsat","2011","06",0.000940337957967652
2011-07-23,15.558483407195,"Landsat","2011","07",0.101789056159789
2011-07-31,22.907305161562,"Landsat","2011","07",0.149867625946199
2011-08-08,41.634823060309,"Landsat","2011","08",0.272389617405049
2011-08-16,15.632667096829,"Landsat","2011","08",0.10227439188003
2011-08-24,0,"Landsat","2011","08",0
2011-09-01,1.85266037393216,"Landsat","2011","09",0.0121207540549863
2011-09-17,1.95968580116453,"Landsat","2011","09",0.0128209519430428
2011-09-25,0,"Landsat","2011","09",0
2011-10-03,4.99194411495381,"Landsat","2011","10",0.0326590495079088
2011-10-11,7.7634003948736,"Landsat","2011","10",0.0507908886813011
2011-10-19,2.68761325569804,"Landsat","2011","10",0.0175833086979112
2011-10-27,1.11584633157791,"Landsat","2011","10",0.00730025812529725
2011-11-04,1.2460541618209,"Landsat","2011","11",0.00815212342592924
2011-11-20,48.2282848499133,"Landsat","2011","11",0.31552635733171
2012-02-08,7.73905887171245,"Landsat","2012","02",0.0506316378980969
2012-03-11,3.18912590749448,"Landsat","2012","03",0.0208643803899597
2012-04-12,44.95454317143,"Landsat","2012","04",0.29410839088585
2012-04-28,8.29891390441895,"Landsat","2012","04",0.0542944059117935
2012-05-30,96.3607491007159,"Landsat","2012","05",0.630425822691442
2012-06-15,0.835725628532902,"Landsat","2012","06",0.00546761022334417
2012-07-01,0.0425010721861392,"Landsat","2012","07",0.000278056923054951
2012-07-17,18.7680871040156,"Landsat","2012","07",0.122787409430857
2012-08-02,5.59430021984646,"Landsat","2012","08",0.0365998744446603
2012-08-18,61.8935386779076,"Landsat","2012","08",0.404929241464506
2012-09-03,0.693926596784601,"Landsat","2012","09",0.00453991121642447
2012-09-19,0.809838611837708,"Landsat","2012","09",0.00529824827930161
2012-10-05,13.6440032919012,"Landsat","2012","10",0.089263855671268
2012-10-21,90.5713303221968,"Landsat","2012","10",0.592549414190938
